Paragraph_ID,Doc_ID,Country,Year,Document_Name,entity_name,ner_label,qh_category,qh_sub_category,qh_exact_category
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal Data Atlas,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal AI Competence Centre,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,DB Systel,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Bundesquantenallianz,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,BQA,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,BAM,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,BWI GmbH BWI GmbH,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,BWI,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Deutsche Forschungsgemeinschaft e,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,German Research Foundation,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,DFG,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Clusters of Excellence,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,European Research Area,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Research Training Group,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Deutscher Wetterdienst,ORG,,,
139,2,GER,2023,Quantum Technologies Conceptual Framework Programme,German Weather Service,ORG,,,
140,2,GER,2023,Quantum Technologies Conceptual Framework Programme,DWD,ORG,,,
140,2,GER,2023,Quantum Technologies Conceptual Framework Programme,ICON,ORG,,,
140,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Max Planck Institut für Meteorology,ORG,,,
140,2,GER,2023,Quantum Technologies Conceptual Framework Programme,MPI-M,ORG,,,
140,2,GER,2023,Quantum Technologies Conceptual Framework Programme,German Climate Computing Center,ORG,,,
140,2,GER,2023,Quantum Technologies Conceptual Framework Programme,DKRZ,ORG,,,
140,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Karlsruhe Institute of Technologe,ORG,,,
140,2,GER,2023,Quantum Technologies Conceptual Framework Programme,KIT,ORG,,,
140,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Cyber Defence and Smart Data Research Institute,ORG,,,
140,2,GER,2023,Quantum Technologies Conceptual Framework Programme,FI,ORG,,,
140,2,GER,2023,Quantum Technologies Conceptual Framework Programme,University of the Bundeswehr Munich The FI CODE,ORG,,,
141,2,GER,2023,Quantum Technologies Conceptual Framework Programme,FI CODE,ORG,,,
141,2,GER,2023,Quantum Technologies Conceptual Framework Programme,IBM Q Hub,ORG,,,
141,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Fraunhofer Society for the Promotion of Applied Research,ORG,,,
141,2,GER,2023,Quantum Technologies Conceptual Framework Programme,FhG,ORG,,,
141,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Fraunhofer-Gesellschaft,ORG,,,
142,2,GER,2023,Quantum Technologies Conceptual Framework Programme,theFraunhofer-Gesellschaft,ORG,,,
146,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Deutschland GmbH,ORG,,,
150,2,GER,2023,Quantum Technologies Conceptual Framework Programme,ForschungsfabrikMikroelektronik Deutschland,ORG,,,
150,2,GER,2023,Quantum Technologies Conceptual Framework Programme,FMD,ORG,,,
